,countQuits,female,regionalDriver,teamDriver,longHaulDriver,specRegDriver,traineeDriver,vet,retDays,volQuit,disqual,terminated,unkQuit,pctMilesPay,age,student,codriver,violations,monday,tuesday,wednesday,thursday,friday,saturday,sunday,termDate
0,16,0.125,0.4375,0.25,0.125,0.125,0.0625,0.125,484.4375,0.8125,0.125,0.0625,0.0,0.32705025,42.4375,0.3125,0.125,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-11-01
1,20,0.05,0.4,0.1,0.15,0.15,0.2,0.25,133.15,0.95,0.05,0.0,0.0,0.3833151500000001,38.35,0.1,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011-11-02
2,13,0.0,0.3076923076923077,0.15384615384615385,0.38461538461538464,0.07692307692307693,0.07692307692307693,0.15384615384615385,153.07692307692307,0.7692307692307693,0.0,0.23076923076923078,0.0,0.38931930769230766,38.69230769230769,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-11-03
3,14,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.35714285714285715,0.2857142857142857,0.07142857142857142,0.14285714285714285,71.64285714285714,0.7857142857142857,0.14285714285714285,0.07142857142857142,0.0,0.39616742857142856,38.642857142857146,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011-11-04
4,8,0.0,0.375,0.125,0.375,0.0,0.125,0.0,214.0,1.0,0.0,0.0,0.0,0.38079375,40.75,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011-11-05
5,5,0.2,0.2,0.0,0.4,0.4,0.0,0.4,277.6,1.0,0.0,0.0,0.0,0.251897,41.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-11-06
6,20,0.05,0.5,0.2,0.1,0.2,0.0,0.1,111.05,0.85,0.05,0.1,0.0,0.26636305,33.6,0.2,0.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-11-07
7,17,0.11764705882352941,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.23529411764705882,0.17647058823529413,0.11764705882352941,78.94117647058823,0.8823529411764706,0.058823529411764705,0.058823529411764705,0.0,0.2691157647058824,38.411764705882355,0.29411764705882354,0.17647058823529413,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-11-08
8,20,0.05,0.4,0.2,0.25,0.15,0.0,0.1,128.9,0.8,0.15,0.05,0.0,0.41309739999999995,42.65,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011-11-09
9,24,0.041666666666666664,0.4583333333333333,0.16666666666666666,0.20833333333333334,0.125,0.041666666666666664,0.041666666666666664,335.625,0.875,0.041666666666666664,0.08333333333333333,0.0,0.3307859583333333,35.5,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-11-10
10,15,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.3333333333333333,0.26666666666666666,0.0,0.06666666666666667,285.4,0.8,0.0,0.2,0.0,0.4390587333333334,35.86666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011-11-11
11,14,0.07142857142857142,0.6428571428571429,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,195.5,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.0,0.3188065714285714,42.142857142857146,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2011-11-12
12,5,0.0,0.0,0.4,0.0,0.4,0.2,0.2,71.2,1.0,0.0,0.0,0.0,0.1660196,51.8,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-11-13
13,18,0.16666666666666666,0.5,0.0,0.2777777777777778,0.1111111111111111,0.1111111111111111,0.2777777777777778,259.5,0.8333333333333334,0.0,0.16666666666666666,0.0,0.39824888888888893,39.44444444444444,0.2777777777777778,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-11-14
14,12,0.25,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.25,75.5,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.0,0.22848091666666667,39.083333333333336,0.4166666666666667,0.08333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2011-11-15
15,10,0.0,0.1,0.3,0.1,0.3,0.2,0.1,202.5,0.7,0.3,0.0,0.0,0.24633739999999998,35.1,0.1,0.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2011-11-16
16,13,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.23076923076923078,0.07692307692307693,0.23076923076923078,134.53846153846155,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.0,0.4226601538461538,34.07692307692308,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2011-11-17
17,14,0.07142857142857142,0.35714285714285715,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.21428571428571427,157.85714285714286,0.8571428571428571,0.0,0.14285714285714285,0.0,0.30931964285714286,35.5,0.2857142857142857,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2011-11-18
